#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as
1682368903,328076,4985500,140.30.20.1,13,2733,4970336,4970472,0,0,140.30.20.5,152.148.48.6,140.30.20.2,334,334,22,49674,6,0,26,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,1558,4970336,4970472,0,0,152.148.48.6,140.30.20.5,0.0.0.0,334,334,49674,22,6,0,31,0,0,0,0
1682368904,989397,4987164,140.30.20.1,14,2289,4969396,4971444,0,0,140.30.20.7,152.148.48.4,140.30.20.2,334,334,22,53450,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,13,1570,4969400,4971452,0,0,152.148.48.4,140.30.20.7,0.0.0.0,334,334,53460,22,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,14,2289,4968924,4971492,0,0,140.30.20.8,152.148.48.4,140.30.20.2,334,334,22,42772,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,14,2289,4969400,4971452,0,0,140.30.20.7,152.148.48.4,140.30.20.2,334,334,22,53460,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,14,2289,4968924,4971512,0,0,140.30.20.8,152.148.48.4,140.30.20.2,334,334,22,42786,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,13,1570,4968924,4971512,0,0,152.148.48.4,140.30.20.8,0.0.0.0,334,334,42786,22,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,14,2289,4969400,4971456,0,0,140.30.20.7,152.148.48.4,140.30.20.2,334,334,22,53452,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,13,1570,4969400,4971456,0,0,152.148.48.4,140.30.20.7,0.0.0.0,334,334,53452,22,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,12,1518,4969396,4971444,0,0,152.148.48.4,140.30.20.7,0.0.0.0,334,334,53450,22,6,0,27,0,0,0,0
1682368904,989397,4987164,140.30.20.1,12,1518,4968924,4971492,0,0,152.148.48.4,140.30.20.8,0.0.0.0,334,334,42772,22,6,0,27,0,0,0,0
